Data Quality,risk,Profile,Capitalization mode,YEAR,Spread (total per trade),Slippage (total per trade),Commission,All-in round-trip cost (pips)
,,,,2017,0.55,1.65,,2.75
,,,,2018,0.55,1.65,,2.75
,,,,2019,0.55,1.65,,2.75
,,,,2020,0.55,1.65,,2.75
,,,,2021,0.55,1.65,,2.75
,,,,2022,0.55,1.65,,2.75
,,,,2023,0.55,1.65,,2.75
,,,,2024,0.55,1.65,,2.75
,,,,2025-08,0.55,1.65,,2.75
Composite Baseline (Extended+Core),1.5%,Retail Rebate,Compounding EoY-SoY base 100k,2003,0.3,0.1,"$5 per round-turn per standard lot (100,000 EUR) ",0.9
,,,,2004,0.3,0.1,,0.9
,,,,2005,0.3,0.1,,0.9
,,,,2006,0.3,0.1,,0.9
,,,,2007,0.3,0.1,,0.9
,,,,2008,0.3,0.15,,0.95
,,,,2009,0.35,0.15,,1.0
,,,,2010,0.35,0.15,,1.0
,,,,2011,0.35,0.175,,1.025
,,,,2012,0.35,0.2,,1.1
,,,,2013,0.35,0.2,,1.1
,,,,2014,0.35,0.2,,1.1
,,,,2015,0.35,0.2,,1.1
,,,,2016,0.35,0.2,,1.1
,,,,2017,0.35,0.35,,1.2
,,,,2018,0.35,0.35,,1.2
,,,,2019,0.35,0.35,,1.2
,,,,2020,0.4,0.45,,1.35
,,,,2021,0.45,0.45,,1.4
,,,,2022,0.45,0.45,,1.4
,,,,2023,0.45,0.45,,1.4
,,,,2024,0.45,0.45,,1.4
,,,,2025-08,0.45,0.45,,1.4
